commit,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxNesting,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment
8d0d53a8cf2cc0d68e396df155beba8344d7810f,33531,199100,38525,268878,32884,183171,47769,123386,37349,7952,10927,41166.0,39877.0,48501.0,20808.0,161.0,161.0,161.0,13,1.9626623376623376,16.589285714285715,1.4253246753246753,4.082792207792208,3.977272727272727,4.858766233766234,1.6168831168831168,19.844155844155843,1.9512987012987013,16.344155844155843,1.4139610389610389
8d0d81a9caf612b479b96bc474815e2f38c4746b,32376,192950,37304,260397,31750,177377,46199,119477,36191,7746,10672,39932.0,38695.0,47035.0,20150.0,161.0,161.0,161.0,13,1.945091514143095,16.625623960066555,1.4409317803660566,4.098169717138103,3.9983361064891847,4.878535773710483,1.6306156405990018,19.890183028286188,1.9334442595673877,16.374376039933445,1.4292845257903495
8d0fad0a7a6ba34fd706c148fa7ed1f8eb2b8b26,27455,169198,30997,225566,26889,156227,39762,105765,29928,6786,8857,35184.0,34139.0,41669.0,17784.0,117.0,116.0,154.0,13,1.9606741573033708,16.882022471910112,1.50374531835206,4.106741573033708,4.01685393258427,4.883895131086143,1.7134831460674158,20.185393258426966,1.9475655430711611,16.672284644194757,1.4906367041198503
8d1549643e814d2f8f0de2991d69c1331c8181d7,29293,178077,33520,238775,28742,164952,42245,111568,32470,6702,9066,37027.0,35913.0,43807.0,18882.0,118.0,117.0,154.0,13,1.9762773722627738,16.71897810218978,1.5127737226277371,4.056569343065694,3.95985401459854,4.815693430656935,1.6916058394160585,20.067518248175183,1.9580291970802919,16.521897810218977,1.4981751824817517
8d1b10321b20bd2a73a5b561cfc3cf2e8051b70b,30543,184407,34664,247456,29980,169819,43684,114734,33603,7260,10019,38308.0,37151.0,45132.0,19323.0,161.0,161.0,161.0,13,1.9841549295774648,17.052816901408452,1.4700704225352113,4.176056338028169,4.075704225352113,4.964788732394366,1.6514084507042253,20.360915492957748,1.971830985915493,16.774647887323944,1.4577464788732395
8d3047cd5bfadbe0232fdec9c9cebb5deb67dbb9,29293,178077,33520,238775,28742,164952,42245,111568,32470,6702,9066,37027.0,35913.0,43806.0,18882.0,118.0,117.0,154.0,13,1.9762773722627738,16.71897810218978,1.5127737226277371,4.056569343065694,3.95985401459854,4.815693430656935,1.6916058394160585,20.067518248175183,1.9580291970802919,16.521897810218977,1.4981751824817517
8d3abeada9e1be49be75115f49f2af76506c0746,30346,183662,34344,246194,29784,169189,43480,114379,33288,7225,9918,38183.0,37042.0,45089.0,19253.0,161.0,161.0,161.0,13,1.9946619217081851,17.126334519572953,1.4750889679715302,4.192170818505338,4.099644128113879,5.00711743772242,1.6654804270462633,20.437722419928825,1.9786476868327403,16.855871886120998,1.4608540925266904
8d4240d3c8a2d31b7bedda8408c0b3c217c76998,30325,183454,34367,245989,29763,169000,43418,114258,33311,7215,9908,38160.0,37019.0,45057.0,19245.0,161.0,161.0,161.0,13,1.9946619217081851,17.112099644128115,1.4715302491103204,4.1886120996441285,4.094306049822064,5.00355871886121,1.6637010676156583,20.419928825622776,1.9786476868327403,16.841637010676155,1.4572953736654803
8d44797cc91231cd44955279040dc4a1ee0a797f,30751,185396,35161,249137,30170,170466,44045,114978,34066,7454,10249,38508.0,37348.0,45342.0,19397.0,161.0,161.0,161.0,13,1.9790940766550522,16.90418118466899,1.461672473867596,4.146341463414634,4.045296167247387,4.937282229965157,1.6358885017421603,20.181184668989548,1.9668989547038327,16.634146341463413,1.4494773519163764
8d61f0f07d078f4ea05d0b70511b0c8c39d8e863,27134,167398,30693,223157,26578,154531,39298,104670,29630,6729,8789,34866.0,33831.0,41251.0,17692.0,113.0,112.0,154.0,13,1.9109848484848484,16.35037878787879,1.5,3.9981060606060606,3.9015151515151514,4.761363636363637,1.6950757575757576,19.59659090909091,1.8996212121212122,16.15530303030303,1.4867424242424243
8d64216807940f39512a248b5911326b9423a8b6,27468,169253,30995,225630,26903,156279,39777,105855,29926,6789,8854,35235.0,34191.0,41714.0,17852.0,117.0,116.0,154.0,13,1.8893058161350844,16.24015009380863,1.4934333958724202,3.973733583489681,3.879924953095685,4.720450281425891,1.679174484052533,19.47091932457786,1.8780487804878048,16.037523452157597,1.4803001876172608
8d6a7e9a198488a1594cd178240fb56085129c78,27421,168934,30903,225180,26857,156019,39712,105678,29834,6768,8814,35171.0,34131.0,41634.0,17829.0,117.0,116.0,154.0,13,1.9071969696969697,16.339015151515152,1.4981060606060606,3.9981060606060606,3.9015151515151514,4.75,1.691287878787879,19.581439393939394,1.8958333333333333,16.140151515151516,1.4848484848484849
8d6ccce14fd1a5843f5c9b231d4dcb81f6ceeb25,32317,192652,37260,259997,31691,177097,46120,119303,36147,7746,10654,39881.0,38645.0,46977.0,20085.0,161.0,161.0,161.0,13,1.948073701842546,16.67001675041876,1.4522613065326633,4.108877721943049,4.008375209380235,4.894472361809045,1.6281407035175879,19.946398659966498,1.9363484087102178,16.417085427135678,1.440536013400335
8d79589ad61132e038dd7312ab018c6d6518ead7,28000,171666,31920,229479,27434,158624,40545,107273,30851,6790,8927,35646.0,34578.0,42190.0,18055.0,118.0,117.0,154.0,13,1.9648798521256932,16.77634011090573,1.5138632162661738,4.079482439926063,3.9870609981515712,4.857670979667283,1.6950092421441774,20.10536044362292,1.9519408502772644,16.567467652495377,1.4990757855822552
8d7a455ed52e2a96debc080dfc011b6bb00db5d2,28798,175514,32962,235144,28233,162379,41591,109718,31897,6788,9024,36430.0,35337.0,43113.0,18586.0,118.0,117.0,154.0,13,1.959780621572212,16.685557586837295,1.4972577696526508,4.051188299817184,3.9579524680073126,4.817184643510055,1.6892138939670933,19.992687385740403,1.946983546617916,16.477148080438756,1.482632541133455
8d7a6b6c85ff38219e306527b8b539a8cbf2bd41,30406,183846,34452,246549,29843,169311,43488,114438,33396,7247,9974,38204.0,37058.0,45021.0,19269.0,161.0,161.0,161.0,13,1.9858156028368794,17.072695035460992,1.4716312056737588,4.177304964539007,4.079787234042553,4.973404255319149,1.6524822695035462,20.375886524822697,1.9734042553191489,16.79432624113475,1.4592198581560283
